Number,Summary Nr,Report ID,Fatality,NAICS,Event Description,Abstract,Keywords,End User,Project Type,Project Cost,Non building height,Fatality.1,Age,Sex,Degree of injury,occpation,Max T,Min T,Dew Max,Dew Min,Max Wind Speed,Sea Level Pressure (in),Time,Temperature,Dew Point,Humidity,Wind,Pressure,Precip.,Condition,ZipCode,State,Season,Wind Speed,Wind Gust,Latitude,Longitude,Location,Event Date,Cloudcover,Visiblity,Solar Radiation,Solar Energy,UV Index
34,109950.015,111500,X,,Employee Falls Through Roof Opening And Is Killed From Multi,"Abstract:     At 1:00 p.m. on October 10, 2018, an employee was gluing and securing EPDM rubber sheathing on the roof. The employee stepped into an unguarded hole in the roof and fell approximately 22 feet and struck a 2 x 6, a metal pipe, and a metal storage rack before landing on the concrete floor.  The employee suffered multiple injuries to include a fractured femur and spine along with massive head trauma.  The employee was killed.","Keywords:     Concrete Slab, Fall, Fracture, Leg, Pipe, Roof Opening, Spine, Struck Against",Commercial building,Alteration or rehabilitation,,22,X,60,M,Fatality,Roofers,79,66,69.0,65.0,9,29.73,12:56:00,77 °F,68 °F,74 %,WSW,29.60 in,0.0 in,Mostly Cloudy,6902,CT,Fall,6 mph,0 mph,41.0544007,-73.5393886,CT 06902,2018-10-10,,,,,
35,109361.015,111700,X,,Employee Falls From Scaffold And Is Killed,"Abstract:     At 10:30 a.m. on September 22, 2018, an employee was installing roofing material while working on a fabricated frame scaffold 19 feet above the ground. The scaffold did not have guard rails on the sides, only across the front.  The employee fell off one of the sides without guard rails and struck his head on the pavement, and was killed.","Keywords:     Elevated Work Platform, Fall, Guardrail, Roof, Scaffold",Single family or duplex dwelling,Maintenance or repair,,25,X,33,M,Fatality,Roofers,68,44,63.0,39.0,18,29.61,10:53:00,60 °F,41 °F,49 %,N,29.52 in,0.0 in,Partly Cloudy,3755,NH,Fall,10 mph,20 mph,43.7051886,-72.2797727,NH 03755,2018-09-22,,,,,
36,110142.015,112000,,,"Employee Falls From Ladder, Sustains Concussion, Fractures","Abstract:     At 9:00 a.m. on September 7, 2018, Employee #1 was working from an aluminum extension ladder at a one-story residential structure.  He was using a screw gun and installing roofing flashing when the ladder slid off the roof's gable end. The employee fell, a fall height of 12 feet.  He was transported to the hospital, admitted, and treated for a concussion and multiple fractures.","Keywords:     Brain, Concussion, Extension Ladder, Fall, Fall Protection, Falling Object, Fracture, Head, Installing, Residential Construction, Roof, Unsecured, Unstable Position",Single family or duplex dwelling,New project or new addition,,15,,50,M,Hospitalized injury,Roofers: Helpers,72,64,70.0,59.0,10,30.03,08:51:00,65 °F,62 °F,90 %,N,30.02 in,0.0 in,Light Rain,6033,CT,Fall,7 mph,0 mph,41.7072707,-72.5681195,CT 06033,2018-09-07,,,,,
37,110269.015,111400,,,"Employee Falls From Roof And Incurs Contusions, Lacerations,","Abstract:     At 10:30 a.m. on August 17, 2018, an employee, working as a roofer, was walking to the peak of commercial building roof. As the employee stepped over the peak, he slipped on condensation accumulation and fell twenty-six feet. The employee was hospitalized for unspecified contusions, lacerations, and abrasions.","Keywords:     Abrasion, Contusion, Fall, Fall Protection, Laceration, Roof, Roofer, Slip, Slippery Surface, Walking Surface",Commercial building,New project or new addition,,30,,34,M,Hospitalized injury,Roofers,85,64,74.0,63.0,15,30.09,10:56:00,83 °F,63 °F,51 %,SSE,30.08 in,0.0 in,Fair,2331,MA,Summer,5 mph,0 mph,42.0413487,-70.730787,MA 02331,2018-08-17,,,,,
38,110268.015,111400,,,"Employee Falls From Roof And Incurs Unspecified Contusions,","Abstract:     At 10:30 a.m. on August 17, 2018, an employee, working as a roofer, was walking to the peak of commercial building roof. As the employee stepped over the peak, he slipped on condensation accumulation, which had formed on the ice and water shield material, and fell twenty-six feet. The employee was hospitalized for contusions, lacerations, and abrasions to his hips, back, legs, and knees.","Keywords:     Abrasion, Back, Contusion, Fall, Fall Protection, Hip, Knee, Laceration, Leg, Slip, Slippery Surface, Walking Surface",Commercial building,New project or new addition,,30,,34,M,Hospitalized injury,Roofers,85,64,74.0,63.0,15,30.09,10:56:00,83 °F,63 °F,51 %,SSE,30.08 in,0.0 in,Fair,2332,MA,Summer,5 mph,0 mph,42.0363803,-70.7010026,MA 02332,2018-08-17,,,,,
39,107890.015,112000,X,,Employee Is Killed In Fall Through Unguarded Skylight,"Abstract:     At 3:30 p.m. on July 30, 2018, Employee #1 was talking and joking with a coworker. Employee #1 began walking backwards, while still talking. He tripped on the base of an unguarded skylight and fell 24 feet to the concrete warehouse floor. Employee #1 suffered a fractured skull and was killed.","Keywords:     Fall, Fracture, Inattention, Skull, Skylight, Tripped, Unguarded, Walking Backward",Commercial building,Alteration or rehabilitation,,24,X,29,M,Fatality,Roofers,81,60,64.0,58.0,10,29.98,15:51:00,80 °F,60 °F,50 %,SW,29.93 in,0.0 in,Mostly Cloudy,6088,CT,Summer,8 mph,0 mph,41.9072365,-72.6026542,CT 06088,2018-07-30,,,,,
40,108287.015,134000,,,Employee Incurs Contusions On Ribs And Sprains Ankle While R,"Abstract:     At 3:15 p.m. on July 29, 2018, an employee was working as a roofer to replace roof decking. At some point, the employee stepped into the gutter, which gave way under the weight. The employee fell twenty-one feet and received contusions to his ribs and a sprained ankle.","Keywords:     Ankle, Collapse, Contusion, Decking, Fall, Fall Protection, Repair, Rib, Roof, Roofer, Sprain",Multi-family dwelling,Maintenance or repair,,21,,22,M,Hospitalized injury,Roofers,77,64,68.0,56.0,12,29.05,14:54:00,76 °F,59 °F,56 %,W,28.99 in,0.0 in,Mostly Cloudy,1752,MA,Summer,7 mph,0 mph,42.3501652,-71.5509966,MA 01752,2018-07-29,,,,,
41,110813.015,111400,,,Employee Falls From Roof And Injures Head,"Abstract:     At 3:53 p.m. on June 1, 2018, an employee was replacing shingles on a house. The employee fell off the roof approximately 25 feet to the ground, resulting in head injuries.","Keywords:     Fall, Head, Roof",Single family or duplex dwelling,Alteration or rehabilitation,,25,,35,M,Hospitalized injury,Roofers,86,61,59.0,48.0,13,29.94,16:00:00,82 °F,52 °F,35 %,WNW,29.88 in,0.0 in,Fair,2574,MA,Summer,13 mph,0 mph,41.6042397,-70.6347475,MA 02574,2018-06-01,,,,,
42,103552.015,111400,X,,Employee Falls From Roof And Is Killed,"Abstract:     At 10:15 a.m. on March 1, 2018, an employee was assisting in the removal of roof panels.The employee fell approximately 46 feet through an opening in the roof, striking a concrete floor below. The employee suffered multiple internal injuries, resulting in his death.","Keywords:     Fall, Fall Protection, Roof",Commercial building,Alteration or rehabilitation,,50,X,56,M,Fatality,Roofers,61,35,41.0,35.0,20,29.78,10:53:00,60 °F,40 °F,47 %,VAR,29.76 in,0.0 in,Fair,2770,MA,Spring,5 mph,0 mph,41.7731624,-70.832834,MA 02770,2018-03-01,,,,,
43,104583.015,134000,,,Employee Falls From Ladder And Incurs Injuries,"Abstract:     At 9:00 a.m. on February 20, 2018, Employee #1, employed by a construction company, was engaged in exterior carpentry work, part of a multiemployer renovation project at a three-story multifamily building.  Employee #1 was on a ladder when the ladder slipped and Employee #1 fell, a fall height of 21 feet. Emergency services were called, and Employee #1 was transported to the hospital. He was admitted and treated for fall-related injuries.","Keywords:     Carpenter, Fall, Fall Protection, Ladder, Residential Construction, Slip",Multi-family dwelling,Alteration or rehabilitation,,21,,39,M,Hospitalized injury,Carpenter,70,43,54.0,42.0,16,30.26,08:54:00,52 °F,50 °F,93 %,SW,30.23 in,0.0 in,Mostly Cloudy,2474,MA,Winter,10 mph,0 mph,42.4108894,-71.143972,MA 02474,2018-02-20,,,,,
44,102911.015,112300,,,Employee Falls From Ladder And Incurs Multiple Injuries,"Abstract:     At 10:30 a.m. on February 5, 2018, Employee #1, employed by a construction company, was working at a two-story residential construction project.  He was working from a ladder and setting up a scaffold when he fell, a fall height of 18 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for injuries to his head, spine, and face.","Keywords:     Face, Fall, Fall Protection, Head, Installing, Ladder, Residential Construction, Scaffold, Spine",Single family or duplex dwelling,New project or new addition,,18,,24,M,Hospitalized injury,Roofers,45,24,45.0,6.0,23,30.21,09:51:00,41 °F,35 °F,79 %,WNW,29.66 in,0.0 in,Fair,2840,RI,Winter,12 mph,0 mph,41.4852399,-71.3146102,RI 02840,2018-02-05,,,,,
45,102022.015,112600,,,Employee Falls From Roof And Fractures Neck,"Abstract:     At 9:13 a.m. on January 3, 2018, Employee #1, employed by a construction company, was working on a roof repair for a two-story commercial building.  He was walking backward and installing insulation when he reached the roof's edge and tripped over a 10-inch parapet.  Employee #1 fell, a fall height of 13 feet. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to five neck vertebrae.","Keywords:     Construction, Fall, Fall Protection, Fracture, Neck, Repair, Roof, Tripped, Vertebra, Walking Backward",Commercial building,Alteration or rehabilitation,,13,,35,M,Hospitalized injury,Roofers,25,5,6.0,0.0,9,30.12,08:51:00,5 °F,0 °F,80 %,SW,30.11 in,0.0 in,Cloudy,1038,MA,Winter,3 mph,0 mph,42.3723339,-72.6043774,MA 01038,2018-01-03,,,,,
46,104073.015,111400,,,Employee Falls From Roof And Injures Leg,"Abstract:     At 12:25 p.m. on November 30, 2017, Employee #1, employed by a chimney and roofing company, was on a roof and engaged in repairs when he fell.  Employee #1 required hospitalization and treatment for a leg injury.","Keywords:     Construction, Fall, Fall Protection, Leg, Repair, Roof, Roofer",,,,,,28,M,Hospitalized injury,Roofers,46,30,41.0,20.0,13,30.32,12:51:00,43 °F,30 °F,60 %,SSE,30.22 in,0.0 in,Cloudy,1504,MA,Fall,5 mph,0 mph,42.0228957,-71.532081,MA 01504,2017-11-30,,,,,
47,100292.015,111100,X,,"Employee Collapses , Falls From Roof, And Is Killed","Abstract:     At 3:45 p.m. on October 27, 2017, an employee was working on a roof and collapsed.  The employee fell from the roof and suffered a neck injury, killing the employee.","Keywords:     Collapse, Fall, Fall Protection, Neck, Roof",Single family or duplex dwelling,Alteration or rehabilitation,"Under $50,000",25,X,60,M,Fatality,Roofers,58,40,54.0,37.0,17,29.87,15:53:00,58 °F,37 °F,46 %,W,29.77 in,0.0 in,Partly Cloudy,4468,ME,Fall,7 mph,0 mph,44.9521267,-68.6663586,ME 04468,2017-10-27,,,,,
48,99309.015,112000,,,Employee Falls When Roof Panel Collapses And Incurs Multiple,"Abstract:     At 4:00 p.m. on September 12, 2017, Employee #1, employed by a construction company, was engaged in roofing work at a multiemployer construction project, a one-story commercial building.  He was applying rubber waterproofing material to the roof when a concrete roofing panel he was standing on collapsed.  Employee #1 fell to the concrete floor below, a fall height of 22 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for multiple fractures and a concussion.","Keywords:     Concrete Panel, Concussion, Construction, Fall, Fall Protection, Fracture, Roof, Roof Collapse, Roof Panel, Work Surface",Commercial building,Alteration or rehabilitation,"$1,000,000 to $5,000,000",22,,36,M,Hospitalized injury,Roofers,85,56,61.0,51.0,14,30.02,15:51:00,85 °F,55 °F,36 %,W,29.85 in,0.0 in,Mostly Cloudy,6354,CT,Fall,9 mph,0 mph,41.7172482,-71.8747937,CT 06354,2017-09-12,,,,,
49,101829.015,111400,,,"Worker Falls When Ladder Tips Over, Injures Back","Abstract:     At 12:00 p.m. on July 5, 2017, Employee #1, employed by a home builder, was working at a two-story building site.  He was on a folding stepladder and applying sheathing to the garage when the ladder tipped over.  Employee #1 fell. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a back contusion.","Keywords:     Back, Contusion, Fall, Fall Protection, Installing, Ladder, Material Handling, Residential Construction, Stepladder, Unstable Position",,,,,,38,M,Hospitalized injury,Roofers,83,63,66.0,52.0,17,30.18,11:51:00,81 °F,54 °F,39 %,VAR,30.17 in,0.0 in,Fair,2771,MA,Summer,6 mph,0 mph,41.8197423,-71.3280822,MA 02771,2017-07-05,,,,,
50,100829.015,111400,,,Employee Falls Off Roof And Suffers Lacerations And Fracture,"Abstract:     At approximately 9:45 a.m. on June 12, 2017, Employee #1 was stripping tiles from a roof. As he worked, he lost his balance and fell over the roof's edge. Employee #1 struck a concrete pavement and suffered lacerations and fractured bones in the fall. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized.","Keywords:     Fall, Fracture, Laceration, Ladder, Roof",Single family or duplex dwelling,Alteration or rehabilitation,"$50,000 to $250,000",27,,32,M,Hospitalized injury,Roofers,80,71,72.0,67.0,16,29.96,09:54:00,80 °F,70 °F,71 %,ESE,29.95 in,0.0 in,Partly Cloudy,2339,MA,Summer,5 mph,0 mph,42.1250778,-70.8460733,MA 02339,2017-06-12,,,,,
51,96076.015,111400,X,,Employee Falls From Roof And Is Killed,"Abstract:     At 9:30 a.m. on May 30, 2017, an employee was performing roofing work.  The employee fell through a plastic dome-style un-guarded skylight to a concrete floor 17 feet and 5 inches below, and was killed by severe blunt force trauma to the brain.","Keywords:     Fall, Roof, Skylight",Commercial building,Alteration or rehabilitation,"$50,000 to $250,000",17,X,22,F,Fatality,Roofers,59,49,55.0,47.0,13,30.2,08:54:00,52 °F,49 °F,89 %,CALM,30.19 in,0.0 in,Cloudy,2062,MA,Spring,0 mph,0 mph,42.18918,-71.201921,MA 02062,2017-05-30,,,,,
52,95577.015,112000,,,"Employee Preparing To Install Fall Protection Falls, And Fra","Abstract:     At 9:00 a.m. on May 16, 2017, Employee #1, employed by a construction company, was working at a multifamily residential building.  He climbed up a ladder and onto the roof while carrying his 50-foot lifeline and an anchorage bracket.  His intention was to install his fall protection system at the peak of the roof, which had a 9 to 12 pitch.  Employee #1 had walked approximately 15 feet toward the roof's peak when he slipped on loose shingles and fell, a fall height of approximately 22 feet.  He first hit a tree and then continued to fall and struck the ground.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for an upper leg fracture of the femur.","Keywords:     Anchor, Fall, Fall Protection, Installing, Leg, Lifeline, Residential Construction, Roof, Slip, Uneven Ground",Multi-family dwelling,Alteration or rehabilitation,,30,,35,M,Hospitalized injury,Roofers,81,52,46.0,39.0,13,29.77,08:51:00,66 °F,46 °F,48 %,NNW,29.77 in,0.0 in,Mostly Cloudy,6114,CT,Spring,9 mph,0 mph,41.7388876,-72.6802439,CT 06114,2017-05-16,,,,,
53,92850.015,112300,,,"Employee Falls Off A Roof, Resulting In Leg And Shoulder Fra","Abstract:     At 11:15 on January 30, 2017, an employee was dismantling a roof bracket scaffold system on the completed side of the main roof. Specifically, he took the scaffold board off the bracket, and was about to take the roof brackets off the roof. The employee cannot remember exactly why he fell, but he believes he lost his footing while dismantling the roof bracket scaffold system, and fell off the roof. The employee fell approximately 24 feet to the lower level, and struck a rock wall before coming to rest on the ground.  The employee sustained leg, rib and shoulder fractures, as well as head wounds, and spent several days in the hospital for treatment and observation. The employee had taken his PFAS harness off when he went to the restroom, and did not put it back on when he returned to the roof surface.","Keywords:     Fall, Fall Protection, Roof",Single family or duplex dwelling,Maintenance or repair,"Under $50,000",24,,57,M,Hospitalized injury,Roofers: Helpers,36,23,21.0,4.0,15,29.84,10:51:00,34 °F,15 °F,46 %,N,29.70 in,0.0 in,Mostly Cloudy,2809,RI,Winter,8 mph,0 mph,41.676179,-71.2759147,RI 02809,2017-01-30,,,,,
